county,licnum,sitename,streetaddy,cityaddy,zip
Hillsborough,3917949,Caribbean Styles Restaurant Llc,4013 N 34 St,Tampa,33610
Hillsborough,3918192,China 1,"4350 W Water Ave , Suite 103",Tampa,33614
Hillsborough,3951956,Taco Bus,913 E Hillsborough Ave,Tampa,33604
Pasco,6100869,Quality Inn & Suites New Port Richey,5316 US 19 North,New Port Richey,34652-3946
Pasco,6101314,Seaside Inn,5330 Treadway Dr,Port Richey,346686343
Pasco,6102530,Papa Johns #1911,8921 State Road 52,Hudson,34667
Pasco,6102564,Villa Pizza,9409 US Hwy 19,Port Richey,34668
Pasco,6102604,China Max,9409 US Hwy 19 #635,Port Richey,34668
Pinellas,6200098,First Class Concessions Inc,14501 Roosevelt Blvd #12,Clearwater,33762
Pinellas,6200961,Rhondavous Bar,9919 Seminole Blvd,Seminole,33772
Pinellas,6206289,Wendy's Old Fashioned Hamburgers,2290 Gulf To Bay Blvd,Clearwater,33765
Pinellas,6208039,Kfc,6595 Park Blvd,Pinellas Park,33781
Pinellas,6208208,Chuck E Cheese Pizza Time,1024 N 58 St,St Petersburg,337106327
Pinellas,6210264,Pasadena Yacht & Country Club Dining,6300 Pasadena Point Blvd,Gulfport,33707
Pinellas,6210947,Checkers,1972 Gulf-To-Bay Blvd,Clearwater,33765
Pinellas,6211679,Kennys Korner Restaurant Llc,17702 Gulf Blvd,Redington Shores,33708
Pinellas,6213618,Three Birds Tavern,1492 4 St North,St. Petersburg,33704
Pinellas,6214417,Indian Shores Coffee Company,19221 Gulf Blvd,Indian Shores,33785
Pinellas,6215694,Pia'S,3054 Beach Blvd S,Gulf Port,33707
Pinellas,6216193,Clay Oven,9047 Mlk Jr St N,St. Petersburg,33702
Pinellas,6216385,Burrito Border,17 3rd Street N,St. Petersburg,33701
Pinellas,6216424,Shark Tales,677 75 Ave,St.Pete Beach,33706
Pinellas,6216540,Britts Pizza,10709 Gulf Blvd,Treasure Island,33706
Pinellas,6216619,Urban Brew And BBQ Inc,1939 Central Ave,St. Petersburg,33713
Pinellas,6217007,Crispy Cajun,2097 Drew Street,Clearwater,33765
Pinellas,6217056,The Iberian Rooster,"475 Central Ave, Suite 100",St. Petersburg,33701
Pinellas,6217190,Red Mesa Mercado,1100 1St Avenue North,St. Petersburg,33705
Pinellas,6217357,Los Mexicanos,"2325 Ulmerton Road, Suite 3",Clearwater,33762
Pinellas,6217413,Big Apple Buffet,1030 58th St N,St. Petersburg,33710
Polk,6300420,Kfc,727 E Memorial Blvd,Lakeland,33801
Polk,6301116,Mcdonald's Restaurant,1470 N Broadway Ave,Bartow,33830
Polk,6303476,Schalamar Creek Caddy Shack Restaurant,4500 Hwy 92 E  Unit 1028,Lakeland,33801
Polk,6304146,Checkers #183,2919 S Florida Ave,Lakeland,338034032
Polk,6304291,Kountry Klub,3100 Canal Road,Lake Wales,338535602
Polk,6304672,Jack And Mary's Restaurant,1360 State Road 60 E,Lake Wales,33853
Polk,6305082,Chili's Winter Haven Fla #409,699 Cypress Gdns Blvd,Winter Haven,338804458
Polk,6307685,Providence Golf Club,1518 Clubhouse Blvd,Davenport,33837
Polk,6308047,Pizzanos Pizza & Grinderz,126 California Blvd,Davenport,33897
Polk,6308142,Jerk Chicken Express81,3800 US 98 N #684,Lakeland,33809
Polk,6308156,Anita's Mexican Restaurant Llc,114 W Central Ave,Lake Wales,33853
Polk,6308274,Hungry Howies #3000,2805 Shepherd Road,Lakeland,33811
Polk,6308442,Jamaican Jerk Kitchen,210 W 8 St,Lakeland,33805
Polk,6350577,Taco San Marcos Corp,201 S Charleston Ave,Fort Meade,33841
Polk,6350593,Roberto Hernandez,3250 Lake Alfred Road,Winter Haven,33881
Brevard,1501960,Italy Italy Rest & Pizzeria,1934 Wickham Road,Melbourne,329358106
Brevard,1505486,Subway Unit #385,1700 New Haven Avenue,West Melbourne,32904
Brevard,1505719,Subway 25830,3120 N Courtenay Pkwy,Merritt Island,32953
Brevard,1505873,Chef Mario's Cafe,1437 Highland Ave,Melbourne,32935
Brevard,1505898,America's Best Value Inn And Suites,4431 W New Haven Ave,West Melbourne,32904
Brevard,1506150,Squid Lips Waterfront,1477 Pineapple Ave,Melbourne,32935
Brevard,1506204,Thai Thai House,"215 Palm Bay Road NE, Suite 169",Melbourne,32904
Brevard,1506386,Pollo Tropical,4335 W Norfolk Pkwy,West Melbourne,32904
Brevard,1506439,Backwater,1904 Municipal Lane,Melbourne,32901
Brevard,1506703,"El Indio Restaurant, Inc",1369 S Babcock St Unit 15,Melbourne,32901
Brevard,1506761,La Catrina Mexican Restaurant,315 W Cocoa Beach Causeway,Cocoa Beach,32931
Brevard,1506762,Brasas Peruvian Grill Indialantic Llc,"2 5 Ave, Suite C",Indialantic,32903
Indian River,4100996,Checker's Drive- In Restaurant,7850 Roseland Road,Sebastian,32958
Indian River,4105107,Ay Jalisco Iii,1814 US Hwy 1,Sebastian,32958
Orange,5802955,Chirico,4302 S Semoran Blvd,Orlando,32822
Orange,5803518,Astro Skating Center Of Orlando,866 S Goldenrod Road,Orlando,32822
Orange,5805698,Denny'S,440 S Semoran Blvd,Orlando,32807
Orange,5806445,Pizza De Milan,3201 E Colonial Dr #F4,Orlando,32803
Orange,5807019,Giant Panda,11726 E Colonial Dr,Orlando,32817
Orange,5807074,Checkers #6316,13495 W Colonial Dr,Winter Garden,34787
Orange,5807437,Rio Pinar Golf Club-Bar And Grill,8600 El Prado Dr,Orlando,32825
Orange,5809177,Food With Care,6995 Venture Cir,Orlando,32807
Orange,5810450,Jersey Mike's Subs,2100 Edgewater Dr,Orlando,32804
Orange,5810902,Hoffner Catering & Supply,4880 B Distribution Ct Unit 1-2,Orlando,32822
Orange,5811086,Kfc Y309216,5200 S John Young Pkwy,Orlando,32839
Orange,5811406,Cici's Pizza 580,7437 International Dr,Orlando,32819
Orange,5811575,Pizzeria Valdiano,421 N Alafaya Tr,Orlando,32828
Orange,5811819,Chucks Wagon Homecooking,60 E Main St,Apopka,32703
Orange,5812707,Mc Burger & Charbroiled Chicken,"3201 E Colonial Dr, Suite F-5",Orlando,32803
Orange,5813294,Flippers Pizzeria #17 Llc,11062 International Dr,Orlando,32821
Orange,5814064,Toothsome Chocolate Emporium & Savory Feast Kitchen-1St Floor,1000 Universal Studios Plaza,Orlando,32819
Orange,5814065,Greenbeat,8200 Vineland Ave #1202,Orlando,32821
Orange,5854614,Hot Dog Station 4,"4959 International Dr , Suite 1F25",Orlando,32819
Osceola,5910917,China Wok,1320 N John Young Pkwy,Kissimmee,34741-4110
St. Lucie,6600775,Taqueria Las Brisas Llc,"850 S 21 St, Suite F",Fort Pierce,34950
St. Lucie,6602180,Chinese Thai To Go,431 N 25 St,Ft Pierce,34947
St. Lucie,6602384,Harbor Cove,1930 Harbortown Dr,Fort Pierce,34946
St. Lucie,6602491,Cowboys BBQ & Steak Co Of Ft Pierce Llc,5000 Okeechobee Road,Fort Pierce,34947
St. Lucie,6602908,Raziyah Caribbean Cuisine Inc,214 N 25 St,Fort Pierce,34947
Seminole,6900528,Burger King #1516,1477 State Road 436,Casselberry,32707
Seminole,6900950,Cafe Perks,2101 S French Ave,Sanford,32771
Seminole,6904522,Orchid Thai Cuisine Lake Mary,1210 S International Pkwy # 162,Lake Mary,32746
Volusia,7404892,Horus Egyptian Restaurant & Lounge,1500 W International Speedway Blvd,Daytona Beach,32114
Volusia,7406644,Jts Billiards & Grill,1517 S Ridgewood Ave,Edgewater,32132
Volusia,7407405,C's Waffles,1816 S Ridgewood Ave,Edgewater,32141
Alachua,1103201,Mochi,"3841 SW Archer Road, Suite E",Gainesville,32608
Alachua,1103302,Southern Charm Kitchen,1714 SE Hawthorne Road,Gainesville,32641
Bradford,1400194,Popeyes #129,1050 Walnut Street,Starke,32091
Columbia,2250085,Abuelita's Cuisine,473 SW Sherlock Terrace,Lake City,32024
Dixie,2500161,China 1,16714 US 19 Se,Cross City,32628
Duval,2600420,Cj Crab House & Seafood,5892 Norwood Ave,Jacksonville,32208
Duval,2600596,The Market Place Main,6837 Ramona Blvd,Jacksonville,32205
Duval,2608119,Bono's Pit Bar B Q,5903 Norwood Ave,Jacksonville,322084345
Duval,2608646,Market Place #3,6909 Ramona Blvd,Jacksonville,32205
Duval,2609501,Olympia Cafe,2550 Mayport Road #5,Jacksonville,32225
Duval,2611323,Cross Creek BBQ & Steak,850 S Lane Ave,Jacksonville,322054705
Duval,2611394,Market Place #4,6839 Ramona Blvd,Jacksonville,32205
Duval,2612083,Domino's #3127,5045 Soutel Dr #14,Jacksonville,32208
Duval,2612291,Wendys #64,14447 Beach Blvd,Jacksonville,32250
Duval,2612334,Benny's Steak & Seafood,2 Independent Dr #175,Jacksonville,32202
Duval,2612341,Canteen,629 Stevens St,Jacksonville,32205
Duval,2612424,Blu Diner,5868 Norwood Ave,Jacksonville,32208
Duval,2612782,Gili's Kitchen,126 W Adams St,Jacksonville,32202
Duval,2612942,A&D Buffalo,9501 Arlington Expressway #9,Jacksonville,32225
Duval,2612994,Ali's Fish Market,1809 W 45 St,Jacksonville,32209
Duval,2613020,Casa Dora Italian Cafe,108 E Forsyth St,Jacksonville,32202
Duval,2613027,Jax Beach Organic Meals,3325 Plymouth Street Suite 1,Jacksonville,32205
Duval,2614038,Championz Sports Bar & Lounge,5063 Normandy Blvd,Jacksonville,32205
Duval,2614071,Tamarind Thai,1661 Riverside Ave #123,Jacksonville,32204
